업종소분류,한파_min,한파_Q1,한파_median,한파_Q3,한파_max,한파_mean,한파_lower_whisker,한파_upper_whisker,온화_min,온화_Q1,온화_median,온화_Q3,온화_max,온화_mean,온화_lower_whisker,온화_upper_whisker,폭염_min,폭염_Q1,폭염_median,폭염_Q3,폭염_max,폭염_mean,폭염_lower_whisker,폭염_upper_whisker
상품권/복권,9285,2103878.0,7225839.5,33780593.25,12735022392,87891309.6504959,9285,80974856,8170,1970458.0,7178573.0,38549541.5,12849179263,87267337.45501228,8170,93408332,16096,1949042.0,7168565.0,33208038.0,7959168024,51501241.421610646,16096,80010726
사무기기/문구용품,971,122374.0,253005.0,548627.0,143648247,572820.9250332889,971,1187434,1143,112207.0,226055.0,483891.0,154986936,515044.59717778326,1143,1041332,1136,116429.0,238591.0,502070.0,52572506,521719.07974360127,1136,1080180
서적,15290,354084.5,629584.0,1387889.75,225401005,3388426.024883359,15290,2936328,2177,329525.0,605817.0,1338267.0,149427245,3289182.3469387754,2177,2848862,7700,313235.0,595119.0,1326367.5,432381511,4334663.153898305,7700,2836166
서점,4358,357120.0,658729.5,1564246.5,129787247,3810604.968773097,4358,3374458,3695,336620.0,610043.0,1401898.5,227296682,3513359.863085681,3695,2999634,3165,354262.5,632998.0,1358814.5,436114914,4086381.6599363345,3165,2862173
생활잡화/수입상품점,11808,346191.0,654414.0,1316062.0,123154527,1343196.4228451443,11808,2770547,7239,361251.0,674672.0,1345459.0,114635958,1293471.9838674557,7239,2821575,5150,371914.5,714663.5,1471265.25,186059965,1412315.2414564288,5150,3120089
쇼핑몰,8051,2381980.75,8797093.5,35024800.25,3188372496,93524248.67527568,8051,83782831,2177,2855960.0,10730785.0,53454687.0,8433614233,150417666.2340112,2177,128003947,8250,2838684.25,9644695.0,52444542.5,3439517667,126773106.7031616,8250,126845647
수입자동차,63926,7794260.0,32735234.5,157573246.75,1463964448,128193903.24825175,63926,382197684,134648,12199008.0,32293613.5,99399973.0,1495101252,98737160.3015873,134648,200329873,81154,8463734.5,28674259.0,125374057.0,1403573309,105177712.5868726,81154,297009521
수제용품점,40238,330416.75,564308.5,1039741.25,13348919,931241.3423423424,40238,1904279,68039,273799.0,507081.5,959075.25,21012743,960482.2668711656,68039,1954037,29275,280256.0,494964.5,998313.0,13677928,857357.9905660377,29275,2054316
세탁소,21469,198053.0,293518.0,442619.0,23230212,368025.03073159547,21469,809190,11494,225888.0,355777.0,571967.25,27590788,471803.77541680285,11494,1090977,9738,181104.75,275922.0,430114.0,11423716,360489.3251831913,9738,803420
슈퍼마켓 기업형,18249,505608.0,1014755.5,1959185.75,129857802,1514249.310647847,18249,4139268,14724,506208.0,1017315.0,1961505.0,26226902,1489317.0494796815,14724,4143502,12980,522196.0,1048978.5,2047593.25,55374917,1548623.571079583,12980,4335386
스포츠/레저용품,9657,1105268.0,2894462.0,6577690.5,175208635,6635406.485502171,9657,14716939,8165,1297463.0,2890695.0,6479688.0,251734486,6986991.914673752,8165,14248393,8048,1065817.0,2452512.0,5940441.0,162614155,6647708.998414316,8048,13251836
스포츠시설,8170,305936.0,530289.0,1102443.0,83266067,1021380.9591982357,8170,2295385,16420,304612.0,520183.0,1059603.5,80558882,972698.6029675638,16420,2190846,16231,307436.0,552926.0,1168611.0,43805611,1075621.4860236568,16231,2458412
신차판매,559955,393075840.5,704009441.0,1373180356.0,5777037673,1028481536.227848,559955,2834055780,1642048,461847933.0,827814246.0,1563576849.0,5920465316,1214004730.0359898,1642048,3065973406,1623071,379723755.0,737757560.0,1249681118.5,9720773354,1046002151.052506,1623071,2539180617
시계/귀금속,16639,303127.0,597917.0,1551038.0,216223608,2731914.1130224434,16639,3409900,19595,293454.0,602084.0,1472917.0,241482958,2524166.6102167573,19595,3233711,17706,297010.0,608435.5,1527497.0,176392138,2396392.0307409354,17706,3368251
